lat,lon
22.0,90.8
22.7,80.5
19.6,83.5
10.7,83.7
10.0,80.8
22.0,88.5
21.0,89.0
13.5,88.5
12.7,88.0
6.8,87.7
7.8,91.7
8.2,85.3
13.9,87.4
20.5,89.5
19.0,86.0
24.0,85.0
22.4,88.4
16.5,86.5
15.0,83.0
6.0,82.2
8.5,88.5
16.5,90.2
22.3,91.5
21.0,88.0
21.5,87.5
20.0,86.0
21.8,88.0
17.2,89.0
14.2,88.4
11.7,92.5
6.5,88.7
20.5,88.0
9.5,87.5
15.3,86.5
18.7,87.0
7.8,86.1
6.4,90.4
11.0,96.3
15.5,90.0
20.3,87.4
18.4,94.1
7.4,90.1
11.0,82.3
8.4,96.3
6.5,84.9
9.8,92.5
7.1,94.5
16.3,97.3
20.8,85.6
21.7,87.8
18.0,95.0
19.5,84.7
12.6,93.3
10.0,85.5
5.3,99.7
9.0,85.0
7.7,87.2
7.7,91.4
19.5,92.1
19.0,90.0
12.4,88.6
9.9,94.1
7.5,88.0
18.8,89.4
16.6,89.3
12.4,81.8
